# Ebin    rho(Ebin)
3.30334  0.881261
3.30425  0.881186
3.30626  0.881019
3.30869  0.880817
3.31254  0.8805
3.31276  0.880481
3.3148  0.880313
3.3208  0.879821
3.32964  0.879101
3.33044  0.879036
3.33185  0.878921
3.33826  0.878405
3.34147  0.878147
3.34429  0.877922
3.34636  0.877757
3.34668  0.877731
3.34686  0.877717
3.34748  0.877668
3.35595  0.876998
3.36069  0.876628
3.36429  0.876348
3.36709  0.876131
3.37412  0.87559
3.37581  0.875461
3.37703  0.875368
3.37819  0.87528
3.38136  0.87504
3.39838  0.873775
3.40146  0.87355
3.40174  0.87353
3.42162  0.872115
3.42181  0.872101
3.42429  0.871929
3.42479  0.871895
3.42567  0.871834
3.42627  0.871792
3.42741  0.871714
3.43419  0.871253
3.43931  0.870909
3.44997  0.870209
3.4536  0.869976
3.45458  0.869914
3.45704  0.869757
3.47026  0.868936
3.47076  0.868906
3.4716  0.868855
3.47914  0.868404
3.48162  0.868259
3.49313  0.867599
3.49688  0.867391
3.49743  0.86736
3.49826  0.867315
3.50202  0.867109
3.50852  0.866762
3.51432  0.86646
3.52113  0.866116
3.52148  0.866098
3.52352  0.865997
3.537  0.865354
3.53852  0.865284
3.55087  0.864737
3.55314  0.864641
3.55521  0.864554
3.55575  0.864532
3.56071  0.864329
3.56684  0.864086
3.56813  0.864037
3.5689  0.864007
3.57633  0.86373
3.57812  0.863665
3.57903  0.863632
3.58395  0.86346
3.58697  0.863358
3.59421  0.863121
3.59571  0.863074
3.60488  0.862798
3.61369  0.862554
3.61958  0.862402
3.62769  0.862209
3.62974  0.862163
3.63955  0.861958
3.6466  0.861827
3.6614  0.861597
3.66455  0.861555
3.68608  0.861347
3.69706  0.86129
3.69758  0.861288
3.70148  0.861276
3.70329  0.861272
3.7138  0.861267
3.71411  0.861267
3.71495  0.861268
3.73114  0.861324
3.73233  0.861331
3.73349  0.861338
3.73933  0.861379
3.74021  0.861386
3.74216  0.861402
3.74499  0.861428
3.74916  0.86147
3.75041  0.861483
3.76901  0.861731
3.77724  0.86187
3.78033  0.861926
3.78582  0.862033
3.7967  0.862268
3.80016  0.862349
3.80454  0.862455
3.80991  0.862592
3.81106  0.862623
3.81825  0.86282
3.82185  0.862923
3.82288  0.862954
3.82378  0.86298
3.82872  0.863129
3.83047  0.863184
3.83131  0.86321
3.84848  0.863785
3.85028  0.863849
3.85837  0.864146
3.85986  0.864203
3.86071  0.864235
3.86217  0.864291
3.86555  0.864423
3.86769  0.864507
3.87085  0.864634
3.88029  0.865026
3.88072  0.865044
3.88217  0.865106
3.88862  0.865387
3.89149  0.865515
3.89676  0.865753
3.90233  0.866012
3.91704  0.866725
3.91837  0.866792
3.92025  0.866886
3.92323  0.867037
3.92415  0.867084
3.92577  0.867168
3.92584  0.867171
3.93474  0.867637
3.93904  0.867867
3.93904  0.867867
3.94745  0.868326
3.94859  0.86839
3.95518  0.868759
3.95715  0.868871
3.96871  0.86954
3.97096  0.869673
